Continent,Country,Province-eng,Province-chi,Town-eng,Town-chi,Source
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Princeton,舖粦市頓埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Quesnel,改市尼埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Quesnelle Forks,改市尼福市埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Revelstoke,笠委市足埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Rock Creek,洛姬力埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Rossland,老市崙,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Salmon Arm,沙面胆埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Savona,沙允那埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Sidney,雪汝 又名雪梨,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Stanley,市賛利埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Steveston,市姊話市頓埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Summerland,森馬崙埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Trail,子李兒埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Union Bay,夭寅庇埠,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Vancouver,雲高華,"Wong, 1913"
North America,Canada 加拿大,British Columbia,英屬加拿大哥林比亞省,Victoria,域多利埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Canmore,根麼埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Carstairs,卡市姐市埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Coleman,咕文埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Crossfield,哥老市裴埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Daysland,姊市倫埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Didsbury,節衣表里埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Edmonton,狄文頓埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Innisfail,顚汝市啡頓埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Lacombe,拉冚比埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Lethbridge,笠付布列珠埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Macleod,麥孔路埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Okotoka,力姬租姬市埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Olds,阿路市埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Pincher Creek,片治姫力埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Raymond,釐文埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Red Deer,力姐埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Stettler,雪自罅埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Strathcona,士子列干拿埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Vegreville,委哥委利埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Nanton,南頓 又名赧頓埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Alameda,亞拉蜜打埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Broadview,布律夭右埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Chamberlain,湛巴倫埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Dundurn,賛頓埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Gainsborough,堅市布路埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Hanley,顯利埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Maple Creek,尾䈬咕力埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Medicine Hat,尾大愼血埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Moose Jaw,舞市搾埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Morse,舞市埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Regina,李振那埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Swift Current,市位卡連埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Weyburn,威本埠,"Wong, 1913"
North America,Canada 加拿大,Northwest Territories,英屬加拿大西北方,Yorkton,約頓埠,"Wong, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Battleford,八自路佛埠,"Wong, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Melfort,者路佛埠,"Wong, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Milestone,尾路市頓埠,"Wong, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Prince Albert,普粦市爹別埠,"Wong, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Rosthern,路市頓埠,"Wong, 1913"
North America,Canada 加拿大,"Saskatchewan District, Northwest Territories",英屬加拿大西北方,Saskatoon,沙市吉寸埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Berlin,柏林埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Brantford,佈蘭佛埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Brockville,布碌委埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Cobourg,咕卜埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Collingwood,咕靈鬱埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Guelph,桂兒扶埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Hamilton,坎馬頓埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Kingston,京市頓埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,London,蘭頓埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Magard Falls,尾葛伙市,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,North Bay,那夫卑埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Ottawa,柯地和埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Owen Sound,多雲爽埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Peterborough,彼得布路付埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Port Arthur,本達打埠 又名旅順埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Toronto,粗朗度埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,St. Thomas,聖參馬市埠,"Wong, 1913"
North America,Canada 加拿大,Ontario,安姐利刀省,Windsor,穩梳埠,"Wong, 1913"
North America,Canada 加拿大,Quebec,葵迫省,Montreal,滿地可埠,"Wong, 1913"
North America,Canada 加拿大,Quebec,葵迫省,Quebec,葵迫埠,"Wong, 1913"
North America,Canada 加拿大,Manitoba,穩尼辟省,Brandon,布蘭安埠,"Wong, 1913"
North America,Canada 加拿大,Manitoba,穩尼辟省,Winnipeg,穩尼辟埠,"Wong, 1913"
North America,Canada 加拿大,New Brunswick,紐砵市役省,Fairville,啡委利,"Wong, 1913"
North America,Canada 加拿大,New Brunswick,紐砵市役省,St. John,聖轉埠,"Wong, 1913"
North America,Canada 加拿大,Nova Scotia,那華市哥地省,Halifax,喜利福士埠,"Wong, 1913"
North America,Canada 加拿大,Nova Scotia,那華市哥地省,Louisbourg,藟市卜埠,"Wong, 1913"
North America,Canada 加拿大,Nova Scotia,那華市哥地省,Parrsboro,怕市布路埠,"Wong, 1913"
North America,Canada 加拿大,Newfoundland,紐芬蘭島,St. John's,聖轉埠,"Wong, 1913"
North America,United States 美國,Alabama,亞罅泵馬省,Mobile,舞比利埠,"Wong, 1913"
North America,United States 美國,Alabama,亞罅泵馬省,Montgomery,孟金馬利埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Ash Fork,底市福埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Clifton,企粒頓埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Congress,港架利市埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Flagstaff,夫冷市接埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Gila Bend,紀路丙埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Globe,古碌埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Harshaw,他梳埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Jerome,枝槓埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Kingman,京文埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Kofa,稿吪埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Metcalf,覓卡扶埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Phoenix,匪匿埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Prescott,把市杰埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Tombstone,參市頓埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Nogales,那茄利埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Tucson,祖笋埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Winslow,穩市老埠,"Wong, 1913"
North America,United States 美國,Arizona,亞利笋拿省,Yuma,夭馬埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Alameda,亞罅必打埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Alleghany,亞利堅釐埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Alturas,達粗利市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Alvarado,亞市孻度埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Alviso,亞兒懷所埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Anaheim,旦那堪埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Anderson,旦打愼埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Angels Camp,因乍路冚埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Antioch,坦地約埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Arbuckle,亞比咕埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Armona,亞滿拿埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Auburn,島畔埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Baker's Ranch,廹架蘭珠埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Bakersfield,廹架市啡埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Benton,品頓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Berkeley,卜忌利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Biggs,廹士埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Bishop,比濕埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Bloomfield,佈槓啡路埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Bodie,貝地埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Burlingame,波崙錦埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Calistoga,卡李士都忌埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Callahan,卡罅顯埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Castroville,卡市委利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Chico,主固埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Coalinga,故令古埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Colfax,卡路域士埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Colusa,高老沙埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Concord,港葛埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Courtland,葛崙埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Cucamonga,曲忌綱咕埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Daggett,即杰埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Davis,姊鼻市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Dinuba,大都巴埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Dutch Flat,匿治夫力埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Folsom,火岑埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Forest Hill,吪市靴埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Fort Bragg,科比力埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Fowler,浮罅埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Fresno,斐市那埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Gilroy,結唻埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Grass Valley,加士華厘埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Guadalupe,和老比埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Hanford,顯佛埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Hayward,喜鬱埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Holt Station,可市姊臣埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Hueneme,懷念埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Ione,埃安埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Isleton,埃崙頓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Jackson,昃臣埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Kern,乾罅埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,King City,頃失地埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Laporte,罅砵埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Laton,列頓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Lemoore,李麼埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Livermore,笠巴麼埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Lodi,老底埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Lompoc,欖卜埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Loomis,林罷市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Los Angeles,羅生埠 又名羅生忌利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Los Banos,羅市扳那埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Madera,孖姐罅埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Martinez,孖剪埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Marysville,尾利允埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Mayfield,尾斐埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Mendocino,文都先那埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Menlo Park,尾李栢,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Merced,孖寫埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Michigan Bluff,尾士乾埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Modesto,孖姐市市度,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Mojave,務爪偉,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Mokelumne Hill,孖卡林汝喜利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Monterey,綱地李埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Napa,笠巴埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Needles,汝路市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Nevada City,那必地失地埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Newcastle,紐卡市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,North Bloomfield,那扶布槓啡埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Oakland,屋崙埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Oakley,屋利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Ontario,安姐利柯埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Orange,打粦珠埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Oroville,阿路委埠 又名阿吪埠 柯吪埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Oxnard,篤市匿埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Parlier,吧利亞埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Pasadena,把沙剪拿埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Penryn,板崙埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Petaluma,疋地老馬埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Placerville,巴市委埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Pleasanton,比李慎頓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Point Arena,泮地亞粦那埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Red Bluff,笠布碌埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Redding,孻靜埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Redlands,冽連埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Reedley,力利埠 又名列利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Rio Vista,孻委市地埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Riverside,笠巴洗埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Sacramento,沙加緬度埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Saint Helena,勝喜連拿埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Salinas,市連打市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,San Bernardino,山班剪打埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,San Diego,山姐咕埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,San Francisco,舊金山大埠 又名三藩斯市哥埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,San Jose,山多些埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,San Luis Obispo,山藟島比市步,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,San Mateo,山孖酒埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,San Rafael,山亞啡路埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Barbara,山地巴罷埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Cruz,山地古路士埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Marie,山地孖李埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Santa Rosa,山地老沙埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Saticoy,山地盖埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Sebastopol,士巴士步埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Selma,舍路馬埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Sisson,矢愼埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Sonora,市那刺埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Stockton,士則頓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Tehama,坎下埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Tulare,都罅利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Ukiah,夭啓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Vacaville,域加委埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Vallejo,尾李賀埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Ventura,呍秋罅埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Vina,懷乃埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Visalia,快些厘埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Vorden,屈頓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Walnut Grove,汪古路埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Washington,華盛頓埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Watsonville,挖臣威埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Weaverville,委罷埠 又名委罷威利埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Wheatland,活崙埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Williams,委林士埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Willits,委列市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Winters,呍打市埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Woodland,鬱崙埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Yreka,委李架埠,"Wong, 1913"
North America,United States 美國,California,加罅寬尼省,Yuba,夭巴埠,"Wong, 1913"
North America,United States 美國,Colorado,哥羅拉多省,Colorado Springs,卡路李度市比令,"Wong, 1913"
North America,United States 美國,Colorado,哥羅拉多省,Denver,剪化埠,"Wong, 1913"
North America,United States 美國,Colorado,哥羅拉多省,Durango,子吟哥埠,"Wong, 1913"
North America,United States 美國,Colorado,哥羅拉多省,Loveland,笠崙埠,"Wong, 1913"
North America,United States 美國,Colorado,哥羅拉多省,Ouray,夭李埠,"Wong, 1913"
North America,United States 美國,Colorado,哥羅拉多省,Pueblo,漂步路埠,"Wong, 1913"
North America,United States 美國,Colorado,哥羅拉多省,Trinidad,千里達埠,"Wong, 1913"
